Data Engineer,Data Engineering,Mid-level,Full-time,Remote,2024,United States,United States,USD,148100,148100,130.3,Medium,5924
Data Engineer,Data Engineering,Mid-level,Full-time,Remote,2024,United States,United States,USD,98700,98700,86.9,Medium,3948
Data Scientist,Data Science,Senior-level,Full-time,Remote,2024,United States,United States,USD,140032,140032,123.2,Medium,8401
Data Scientist,Data Science,Senior-level,Full-time,Remote,2024,United States,United States,USD,100022,100022,88,Medium,6001
BI Developer,Business Intelligence,Mid-level,Full-time,On-site,2024,United States,United States,USD,120000,120000,105.6,Medium,4800
BI Developer,Business Intelligence,Mid-level,Full-time,On-site,2024,United States,United States,USD,62100,62100,54.6,Low,2484
Research Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,250000,250000,220,Medium,5000
Research Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,150000,150000,132,Medium,3000
Data Engineer,Data Engineering,Executive-level,Full-time,Remote,2024,United States,United States,USD,219650,219650,193.3,Medium,17572
Data Engineer,Data Engineering,Executive-level,Full-time,Remote,2024,United States,United States,USD,136000,136000,119.7,Medium,10880
Business Intelligence Developer,Business Intelligence,Mid-level,Full-time,On-site,2024,United States,United States,USD,87800,87800,77.3,Medium,3512
Business Intelligence Developer,Business Intelligence,Mid-level,Full-time,On-site,2024,United States,United States,USD,76300,76300,67.1,Medium,3052
Data Scientist,Data Science,Mid-level,Full-time,Remote,2024,United States,United States,USD,148100,148100,130.3,Medium,5924
Data Scientist,Data Science,Mid-level,Full-time,Remote,2024,United States,United States,USD,98700,98700,86.9,Medium,3948
Data Engineer,Data Engineering,Mid-level,Full-time,On-site,2024,United States,United States,USD,145500,145500,128,Medium,5820
Data Engineer,Data Engineering,Mid-level,Full-time,On-site,2024,United States,United States,USD,93000,93000,81.8,Medium,3720
Data Scientist,Data Science,Mid-level,Full-time,On-site,2024,United States,United States,USD,85000,85000,74.8,Medium,3400
Data Scientist,Data Science,Mid-level,Full-time,On-site,2024,United States,United States,USD,75000,75000,66,Low,3000
Data Scientist,Data Science,Mid-level,Full-time,On-site,2024,United States,United States,USD,105000,105000,92.4,Medium,4200
Data Scientist,Data Science,Mid-level,Full-time,On-site,2024,United States,United States,USD,70000,70000,61.6,Low,2800
Data Engineer,Data Engineering,Senior-level,Full-time,On-site,2024,United States,United States,USD,204662,204662,180.1,Medium,12279
Data Engineer,Data Engineering,Senior-level,Full-time,On-site,2024,United States,United States,USD,184662,184662,162.5,Medium,11079
Data Scientist,Data Science,Mid-level,Full-time,On-site,2024,United States,United States,USD,179000,179000,157.5,Medium,7160
Data Scientist,Data Science,Mid-level,Full-time,On-site,2024,United States,United States,USD,112000,112000,98.6,Medium,4480
Data Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,115000,115000,101.2,Medium,2300
Data Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,85000,85000,74.8,Medium,1700
Director of Data Science,Data Science,Executive-level,Full-time,On-site,2024,United States,United States,USD,225000,225000,198,Medium,18000
Director of Data Science,Data Science,Executive-level,Full-time,On-site,2024,United States,United States,USD,180000,180000,158.4,Medium,14400
MLOps Engineer,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,175000,175000,154,Medium,10500
MLOps Engineer,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,110000,110000,96.8,Medium,6600
Machine Learning Scientist,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,252000,252000,221.8,High,15120
Machine Learning Scientist,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,157500,157500,138.6,Medium,9450
Machine Learning Engineer,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,267900,267900,235.8,High,16074
Machine Learning Engineer,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,234700,234700,206.5,Medium,14082
Data Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,195500,195500,172,Medium,3910
Data Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,68000,68000,59.8,Low,1360
Data Science Manager,Data Science,Senior-level,Full-time,Remote,2024,United States,United States,USD,120000,120000,105.6,Medium,7200
Data Science Manager,Data Science,Senior-level,Full-time,Remote,2024,United States,United States,USD,90000,90000,79.2,Medium,5400
Data Scientist,Data Science,Senior-level,Full-time,On-site,2024,United States,United States,USD,242000,242000,213,Medium,14520
Data Scientist,Data Science,Senior-level,Full-time,On-site,2024,United States,United States,USD,106200,106200,93.5,Medium,6372
Machine Learning Engineer,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,215000,215000,189.2,Medium,12900
Machine Learning Engineer,AI/ML,Senior-level,Full-time,On-site,2024,United States,United States,USD,146900,146900,129.3,Medium,8814
Applied Scientist,Analytics,Mid-level,Full-time,On-site,2024,United States,United States,USD,222200,222200,195.5,Medium,8888
Applied Scientist,Analytics,Mid-level,Full-time,On-site,2024,United States,United States,USD,136000,136000,119.7,Medium,5440
Data Scientist,Data Science,Mid-level,Full-time,Remote,2024,United States,United States,USD,246000,246000,216.5,Medium,9840
Data Scientist,Data Science,Mid-level,Full-time,Remote,2024,United States,United States,USD,190000,190000,167.2,Medium,7600
Data Engineer,Data Engineering,Mid-level,Full-time,Remote,2024,United States,United States,USD,165000,165000,145.2,Medium,6600
Data Analyst,Analytics,Entry-level,Full-time,On-site,2024,United States,United States,USD,83000,83000,73,Medium,1660
Data Engineer,Data Engineering,Mid-level,Full-time,Remote,2024,United States,United States,USD,129600,129600,114,Medium,5184
Business Intelligence Analyst,Business Intelligence,Mid-level,Full-time,On-site,2024,United States,United States,USD,200400,200400,176.4,Medium,8016
Business Intelligence Analyst,Business Intelligence,Mid-level,Full-time,On-site,2024,United States,United States,USD,126900,126900,111.7,Medium,5076
Machine Learning Engineer,AI/ML,Senior-level,Full-time,Remote,2024,United States,United States,USD,322000,322000,283.4,High,19320
Machine Learning Engineer,AI/ML,Senior-level,Full-time,Remote,2024,United States,United States,USD,230000,230000,202.4,Medium,13800
Data Analyst,Analytics,Senior-level,Full-time,On-site,2024,United States,United States,USD,175520,175520,154.5,Medium,10531
Data Analyst,Analytics,Senior-level,Full-time,On-site,2024,United States,United States,USD,103786,103786,91.3,Medium,6227
Analytics Engineer,Data Engineering,Senior-level,Full-time,Remote,2024,United States,United States,USD,170000,170000,149.6,Medium,10200
Analytics Engineer,Data Engineering,Senior-level,Full-time,Remote,2024,United States,United States,USD,130000,130000,114.4,Medium,7800
Data Scientist,Data Science,Senior-level,Full-time,On-site,2024,United States,United States,USD,195000,195000,171.6,Medium,11700
Data Scientist,Data Science,Senior-level,Full-time,On-site,2024,United States,United States,USD,146900,146900,129.3,Medium,8814
Data Scientist,Data Science,Mid-level,Full-time,Remote,2024,United States,United States,USD,170400,170400,150,Medium,6816
Data Scientist,Data Science,Mid-level,Full-time,Remote,2024,United States,United States,USD,106500,106500,93.7,Medium,4260
Data Analyst,Analytics,Mid-level,Full-time,On-site,2024,United States,United States,USD,134500,134500,118.4,Medium,5380
Data Analyst,Analytics,Mid-level,Full-time,On-site,2024,United States,United States,USD,100000,100000,88,Medium,4000
Data Engineer,Data Engineering,Mid-level,Full-time,On-site,2024,United States,United States,USD,159000,159000,139.9,Medium,6360
Data Engineer,Data Engineering,Mid-level,Full-time,On-site,2024,United States,United States,USD,111300,111300,97.9,Medium,4452
Machine Learning Engineer,AI/ML,Mid-level,Full-time,On-site,2024,United States,United States,USD,173400,173400,152.6,Medium,6936
Machine Learning Engineer,AI/ML,Mid-level,Full-time,On-site,2024,United States,United States,USD,99100,99100,87.2,Medium,3964
Business Intelligence Engineer,Business Intelligence,Senior-level,Full-time,On-site,2024,United States,United States,USD,185000,185000,162.8,Medium,11100
